2024-05-03 12:08:21.380 [main] INFO  stepDefinitions.ApiSteps - Bearer token is generated
2024-05-03 12:08:22.333 [main] INFO  stepDefinitions.ApiSteps - POST request performed successfully
2024-05-03 12:08:22.333 [main] INFO  stepDefinitions.ApiSteps - Request body sent: {"firstName":"Johnny","lastName":"Cash","locationId":"4","middleName":"Dorian","employeeId":"5684","joinedDate":"2024-12-27"}
2024-05-03 12:08:22.349 [main] INFO  stepDefinitions.ApiSteps - Response status code is 201
2024-05-03 12:08:22.351 [main] INFO  stepDefinitions.ApiSteps - All parameters in the response body match the parameters in the request body:
2024-05-03 12:08:22.351 [main] INFO  stepDefinitions.ApiSteps - firstName: Johnny
2024-05-03 12:08:22.351 [main] INFO  stepDefinitions.ApiSteps - lastName: Cash
2024-05-03 12:08:22.351 [main] INFO  stepDefinitions.ApiSteps - locationId: 4
2024-05-03 12:08:22.351 [main] INFO  stepDefinitions.ApiSteps - middleName: Dorian
2024-05-03 12:08:22.351 [main] INFO  stepDefinitions.ApiSteps - employeeId: 5684
2024-05-03 12:08:22.351 [main] INFO  stepDefinitions.ApiSteps - joinedDate: 2024-12-27
